#{"t_start": 1781077190.701003, "env_id": "None"}
r,l,t
140.533333,50,54.781988
142.166667,50,54.822583
88.833333,50,54.870422
38.116667,50,55.961058
148.833333,50,56.016071
136.366667,50,56.096487
151.616667,50,56.195896
128.566667,50,56.289529
37.916667,50,56.407543
15.916667,50,56.525335
99.166667,50,56.572933
160.333333,50,56.683695
42.3,50,56.73724
114.666667,50,57.427203
77.833333,50,57.499237
100.866667,50,57.572585
116.083333,50,57.612063
130.033333,50,57.652583
131.066667,50,57.712296
147.916667,50,57.75477
120.166667,50,57.789773
169.5,50,57.815011
62.566667,50,57.84402
77.0,50,58.145199
132.416667,50,58.179199
130.916667,50,58.217196
23.5,50,58.252272
155.916667,50,58.290954
93.25,50,58.328549
91.25,50,58.357406
109.166667,50,58.389407
143.2,50,58.422412
63.916667,50,58.457925
123.583333,50,58.882179
141.033333,50,58.921328
152.75,50,58.956741
99.033333,50,58.985758
32.2,50,59.0188
119.666667,50,59.055316
164.25,50,59.089982
142.333333,50,59.124501
69.916667,50,59.157111
126.166667,50,59.182112
45.416667,50,59.211109
57.866667,50,59.612768
65.116667,50,59.646772
125.166667,50,59.680918
100.083333,50,59.712926
75.583333,50,59.744576
66.833333,50,59.777067
166.5,50,59.813051
60.75,50,59.852569
3.916667,50,59.87691
65.033333,50,59.903715
97.25,50,60.160113
145.5,50,60.189166
77.083333,50,60.22308
85.416667,50,60.252269
90.583333,50,60.278154
114.333333,50,60.308758
88.616667,50,60.335796
126.083333,50,60.360397
60.416667,50,60.385393
142.666667,50,60.411438
106.866667,50,60.674816
123.583333,50,60.705457
113.25,50,60.740577
47.0,50,60.778579
139.333333,50,60.816578
80.766667,50,60.848587
115.166667,50,60.885209
82.283333,50,60.92022
117.916667,50,60.961623
123.166667,50,61.001626
103.25,50,61.608128
84.283333,50,61.67999
82.833333,50,61.739729
143.416667,50,61.864437
141.0,50,62.460764
84.533333,50,63.627962
124.533333,50,63.856499
131.7,50,63.919499
