#{"t_start": 1785387945.2130525, "env_id": "None"}
r,l,t
234.666667,50,22.367342
249.416667,50,22.404855
212.333333,50,22.467853
190.5,50,22.513853
148.166667,50,22.566993
205.566667,50,22.751345
218.833333,50,22.786369
246.616667,50,22.846369
136.083333,50,22.897371
220.0,50,22.947377
145.25,50,23.1154
91.916667,50,23.152405
253.416667,50,23.18143
-0.166667,50,23.223431
217.916667,50,23.474439
225.0,50,23.750256
109.066667,50,23.791264
189.0,50,23.826776
115.45,50,23.858284
215.416667,50,23.887284
184.116667,50,24.117595
158.0,50,24.180592
250.916667,50,24.208107
138.583333,50,24.247618
211.333333,50,24.27662
240.833333,50,24.521646
198.583333,50,24.578646
208.95,50,24.609153
122.416667,50,24.637655
239.25,50,24.664654
212.833333,50,24.693655
239.25,50,24.935799
224.5,50,24.99381
72.7,50,25.021828
105.9,50,25.051831
181.25,50,25.079831
206.25,50,25.443863
251.0,50,25.47286
231.166667,50,25.50386
196.616667,50,25.534878
172.666667,50,25.563861
215.75,50,25.821952
215.916667,50,25.850956
209.833333,50,25.882957
241.833333,50,25.909954
110.583333,50,25.936955
241.75,50,26.288698
129.033333,50,26.341699
241.833333,50,26.421942
237.166667,50,26.682656
220.416667,50,26.777658
215.916667,50,27.072802
232.166667,50,27.133799
199.166667,50,27.172799
217.833333,50,27.214802
216.25,50,27.240395
194.083333,50,27.45943
233.25,50,27.51043
149.866667,50,27.55275
176.65,50,27.584749
212.25,50,27.616756
207.25,50,27.821791
224.5,50,27.887816
217.916667,50,27.953813
228.083333,50,27.991838
241.333333,50,28.020819
245.333333,50,28.4603
170.583333,50,28.502301
236.166667,50,28.5373
204.166667,50,28.629315
253.5,50,28.710347
136.5,50,28.827359
185.416667,50,29.422755
227.783333,50,29.590434
65.916667,50,29.642486
116.666667,50,29.68929
237.25,50,29.730293
227.2,50,30.133026
222.916667,50,30.278758
145.866667,50,30.476659
241.333333,50,30.534598
257.0,50,30.581601
121.833333,50,30.942537
198.0,50,30.986538
235.75,50,31.060444
232.166667,50,31.197398
17.583333,50,31.250404
231.366667,50,32.721287
236.583333,50,32.789285
239.166667,50,32.850283
255.5,50,32.977396
202.583333,50,33.078399
182.25,50,33.34692
216.25,50,33.373905
98.916667,50,33.398965
111.7,50,33.426965
214.333333,50,33.462964
215.533333,50,33.621129
47.066667,50,33.666259
177.25,50,33.703648
244.333333,50,33.729797
211.25,50,33.755799
205.666667,50,33.920494
144.083333,50,33.949244
91.25,50,33.974244
254.5,50,34.000245
75.783333,50,34.027243
227.583333,50,34.192206
219.916667,50,34.223205
-0.766667,50,34.284207
97.733333,50,34.333279
150.833333,50,34.375276
234.166667,50,34.413277
244.916667,50,34.599249
225.5,50,34.626248
210.75,50,34.652251
179.366667,50,34.680248
240.166667,50,34.706254
192.616667,50,34.883353
195.0,50,34.918864
230.666667,50,34.949496
206.25,50,34.977492
245.833333,50,35.004495
225.0,50,35.1698
232.166667,50,35.197801
111.583333,50,35.2308
89.066667,50,35.2618
233.083333,50,35.290571
10.416667,50,35.456325
221.916667,50,35.481346
105.5,50,35.508331
233.666667,50,35.536484
211.45,50,35.564488
