#{"t_start": 1781077617.2064164, "env_id": "None"}
r,l,t
-21.9,50,33.862571
-17.1,50,33.88469
-19.9,50,34.185511
-22.8,50,34.212214
-20.5,50,34.243327
-19.5,50,34.273873
-16.5,50,34.299936
-25.0,50,34.332461
-24.3,50,34.371136
-20.4,50,34.416965
-20.8,50,34.457196
-21.8,50,34.494622
-18.6,50,34.884135
-21.6,50,34.920104
-25.3,50,34.988058
8.2,50,35.015936
-20.8,50,35.043213
-10.2,50,35.077313
-16.7,50,35.110882
-23.8,50,35.135072
-21.7,50,35.164986
-27.2,50,35.209402
-23.0,50,35.563706
-15.0,50,35.591008
-17.7,50,35.625989
-22.3,50,35.665751
-20.3,50,35.699292
-17.4,50,35.731519
-4.7,50,35.758361
-17.6,50,35.790459
-15.0,50,35.824751
-19.5,50,35.85512
-21.4,50,36.1826
-21.4,50,36.232993
-13.4,50,36.272172
-19.0,50,36.301183
-18.0,50,36.333448
-16.7,50,36.365094
-15.7,50,36.396292
-18.8,50,36.424746
-15.3,50,36.454869
-15.5,50,36.484743
-14.9,50,36.511857
-18.5,50,36.867915
-15.8,50,36.90539
-15.0,50,36.930932
6.1,50,36.962165
-16.1,50,36.992793
-14.4,50,37.022935
-15.0,50,37.045581
-15.7,50,37.078415
-14.7,50,37.105644
-23.0,50,37.130663
-19.1,50,37.578511
-20.6,50,37.611113
-15.0,50,37.637699
-23.2,50,37.673746
-15.6,50,37.707857
-22.6,50,37.740719
-18.0,50,37.772027
-14.8,50,37.794921
-13.5,50,37.825846
-13.0,50,37.849057
-16.3,50,38.241226
-15.2,50,38.273285
-4.7,50,38.299349
-19.0,50,38.329916
-14.6,50,38.361472
8.0,50,38.400736
-15.8,50,38.438011
-16.8,50,38.461346
-16.1,50,38.490837
-15.8,50,38.512769
-16.0,50,38.821075
-15.0,50,38.851171
-18.1,50,38.879714
-15.7,50,38.911585
-21.6,50,38.945702
-15.5,50,38.971913
-18.1,50,39.002043
-14.4,50,39.031915
-18.3,50,39.054466
-15.2,50,39.082706
-17.1,50,39.120785
-16.4,50,39.53066
-14.9,50,39.559344
-17.1,50,39.607625
-14.0,50,39.633823
-14.7,50,39.668428
-16.6,50,39.711486
-14.1,50,39.744205
-15.3,50,39.780607
-15.9,50,39.81574
-15.1,50,39.839373
-16.4,50,40.523801
-13.5,50,40.570257
-14.4,50,40.610549
-13.5,50,40.63687
-13.8,50,40.678532
-13.5,50,40.780214
-12.9,50,40.863182
-19.5,50,40.995259
-14.1,50,41.149583
-19.0,50,41.195879
-16.7,50,41.613044
-9.8,50,41.650888
-16.8,50,41.688949
-13.7,50,41.717485
-19.9,50,41.752741
-18.9,50,41.787508
-16.3,50,41.826798
-13.5,50,41.85867
-13.5,50,41.885268
-15.4,50,41.918911
-11.1,50,42.237924
-16.9,50,42.271128
-16.3,50,42.297754
-13.5,50,42.331497
-15.2,50,42.364778
-12.9,50,42.414304
-12.8,50,42.481715
-16.9,50,42.510403
-18.5,50,42.548025
-19.3,50,42.583565
-17.9,50,42.619652
-20.6,50,43.007665
-18.6,50,43.042516
-14.1,50,43.074323
-12.7,50,43.109294
-13.5,50,43.135395
-14.4,50,43.170241
-13.5,50,43.20095
-13.5,50,43.228884
-14.1,50,43.252473
-16.1,50,43.284467
-13.9,50,43.592288
-13.5,50,43.627584
-18.1,50,43.657156
-12.3,50,43.688324
-17.9,50,43.715338
-15.4,50,43.75341
-19.0,50,43.787326
-16.6,50,43.819343
-14.1,50,43.841762
-19.1,50,43.872047
-18.8,50,44.205136
-13.4,50,44.234516
-12.7,50,44.260784
-14.0,50,44.293143
-12.6,50,44.324699
-14.6,50,44.355294
-17.3,50,44.38145
-5.0,50,44.417138
-14.1,50,44.449378
-14.1,50,44.470899
-14.6,50,44.791418
-13.8,50,44.823977
-12.8,50,44.854668
-14.0,50,44.880105
-3.4,50,44.913256
-14.1,50,44.944827
-13.4,50,44.979101
-12.6,50,45.003076
-14.6,50,45.03375
-14.3,50,45.055791
-16.8,50,45.084359
-10.0,50,45.714039
-16.0,50,45.759229
-12.7,50,45.801714
-12.9,50,45.843795
-13.1,50,45.878391
-13.2,50,45.907954
-13.8,50,45.952575
-12.9,50,45.998175
-14.1,50,46.038287
-16.5,50,46.068968
-13.4,50,46.407069
-11.7,50,46.438653
-13.8,50,46.482973
-13.8,50,46.510524
-15.1,50,46.545206
-14.8,50,46.588102
-14.1,50,46.641427
-13.8,50,46.681906
-11.3,50,46.718928
-13.8,50,46.763572
-11.4,50,47.21701
-12.8,50,47.259931
-13.2,50,47.300744
-9.8,50,47.342318
-15.8,50,47.380515
-13.5,50,47.421243
-14.0,50,47.453971
-10.6,50,47.485539
-12.9,50,47.51035
-14.3,50,47.542016
-11.4,50,47.875307
-9.6,50,47.908422
-15.5,50,47.940074
-12.0,50,47.967165
-8.3,50,48.004398
-12.2,50,48.036984
-12.6,50,48.068172
-14.3,50,48.090186
-10.7,50,48.120782
-14.7,50,48.150214
-12.0,50,48.175113
-9.6,50,48.492262
-12.3,50,48.520826
-8.7,50,48.551156
-12.7,50,48.582265
-13.1,50,48.612907
-13.8,50,48.639487
-13.7,50,48.667739
-13.5,50,48.700307
-13.7,50,48.727344
-13.5,50,48.760544
-10.0,50,49.205676
-12.6,50,49.23778
-11.1,50,49.263423
-14.1,50,49.295088
-3.3,50,49.332187
-12.9,50,49.369552
5.1,50,49.404294
-8.3,50,49.469539
-11.9,50,49.508657
-12.6,50,49.53528
-13.1,50,49.86917
-14.7,50,49.903658
-12.1,50,49.947037
-10.3,50,50.00251
-11.3,50,50.053654
1.5,50,50.117625
-12.0,50,50.161967
-10.2,50,50.240896
-12.9,50,50.27025
-10.5,50,50.307394
-13.9,50,50.671775
-12.3,50,50.734647
-6.8,50,50.860446
-12.0,50,50.921231
-12.3,50,51.004701
-7.8,50,51.035114
-11.4,50,51.065231
-11.7,50,51.087996
-10.2,50,51.117564
-12.9,50,51.145398
-13.2,50,51.174763
-11.4,50,51.521374
-11.8,50,51.549191
-9.1,50,51.582014
-7.4,50,51.614747
-13.4,50,51.646883
-13.2,50,51.673467
-5.2,50,51.704875
-11.0,50,51.733748
-11.1,50,51.760953
-12.0,50,51.79576
-12.3,50,52.208542
20.0,50,52.259417
-8.5,50,52.318028
-12.3,50,52.358092
-13.8,50,52.398201
-7.4,50,52.423434
-8.5,50,52.465336
-12.4,50,52.509764
-12.6,50,52.547213
0.3,50,52.584699
-2.1,50,53.036203
-11.3,50,53.070688
-13.8,50,53.104448
-10.7,50,53.150047
-12.6,50,53.189033
-14.7,50,53.213117
-9.7,50,53.244885
-12.0,50,53.274558
-13.2,50,53.29832
-13.5,50,53.328919
-14.1,50,53.668698
-12.6,50,53.700608
-13.1,50,53.732189
-12.6,50,53.758478
9.7,50,53.795556
-12.6,50,53.831396
-12.3,50,53.862467
-12.0,50,53.887208
-13.0,50,53.922023
-12.0,50,53.965894
-10.8,50,54.447457
-12.3,50,54.485172
-11.7,50,54.511232
-11.2,50,54.547825
-12.3,50,54.584306
-10.0,50,54.615672
-12.3,50,54.64936
-12.6,50,54.678059
-10.5,50,54.709157
-11.1,50,54.745465
-12.0,50,54.781647
5.6,50,55.099164
-5.9,50,55.130444
-7.9,50,55.171071
-12.3,50,55.203356
-10.2,50,55.235779
-11.5,50,55.26347
-13.1,50,55.291247
-4.4,50,55.31949
10.3,50,55.344623
-1.4,50,55.37317
-11.7,50,55.702073
-12.3,50,55.734014
-10.8,50,55.761493
-12.9,50,55.802825
-1.2,50,55.838743
-13.5,50,55.873373
-12.3,50,55.905757
-14.5,50,55.943898
-12.0,50,55.970974
13.0,50,56.001554
-12.6,50,56.324113
-11.5,50,56.353378
-12.6,50,56.381445
-11.2,50,56.41873
-14.0,50,56.450994
-9.3,50,56.483254
-5.7,50,56.50921
-9.1,50,56.539274
-11.1,50,56.571492
-6.4,50,56.595428
-9.3,50,56.92387
-11.4,50,56.954884
-8.0,50,56.988718
-7.0,50,57.015749
-12.6,50,57.047088
-11.3,50,57.108361
-12.6,50,57.147102
-10.5,50,57.172013
-7.3,50,57.202663
-12.0,50,57.231306
-12.3,50,57.252998
-7.1,50,57.674526
-9.9,50,57.707185
-1.3,50,57.735779
-7.1,50,57.760892
-7.9,50,57.791006
-11.4,50,57.825563
1.9,50,57.856886
-11.7,50,57.878494
-12.3,50,57.907065
-12.0,50,57.929392
-12.6,50,58.343861
-5.0,50,58.371696
-12.0,50,58.412835
-11.8,50,58.455036
-12.0,50,58.492427
-13.4,50,58.52915
-7.9,50,58.569121
-8.2,50,58.605716
7.9,50,58.637288
-12.0,50,58.670171
-10.9,50,58.993771
-12.6,50,59.024333
8.2,50,59.049672
-12.0,50,59.084359
-8.2,50,59.112427
-12.0,50,59.147527
-0.8,50,59.173072
-11.7,50,59.202639
-12.0,50,59.23134
-11.7,50,59.253601
5.5,50,59.582855
-12.3,50,59.620925
-12.4,50,59.653478
-12.9,50,59.675742
-12.6,50,59.713147
-10.8,50,59.748867
-6.8,50,59.77915
-8.2,50,59.809824
-1.8,50,59.837245
-12.0,50,59.867887
-2.4,50,59.898779
-11.7,50,60.363622
-7.0,50,60.385425
-12.3,50,60.419671
-13.2,50,60.44966
-13.8,50,60.480941
-2.3,50,60.50768
5.5,50,60.5385
-1.3,50,60.570594
-7.2,50,60.593607
-12.3,50,60.62458
-12.3,50,61.134829
-4.7,50,61.169979
-11.1,50,61.202551
-12.3,50,61.253097
-12.1,50,61.297268
-10.2,50,61.338351
-7.8,50,61.372445
2.2,50,61.402448
-15.5,50,61.428525
-4.8,50,61.465661
-1.8,50,61.82208
-12.0,50,61.863652
-1.3,50,61.890829
-5.5,50,61.923096
-12.0,50,61.95265
-8.5,50,61.984726
-13.5,50,62.007409
-7.9,50,62.039093
10.5,50,62.070282
-7.9,50,62.116305
2.6,50,62.664952
2.7,50,62.706171
-0.5,50,62.745286
-13.4,50,62.783258
0.7,50,62.832878
-11.7,50,62.897021
7.4,50,62.987114
-12.6,50,63.027363
-12.3,50,63.065427
-12.0,50,63.118675
3.1,50,63.175804
-4.0,50,63.778929
-12.3,50,63.830196
-12.6,50,63.876881
6.1,50,63.994655
-1.2,50,64.067656
3.1,50,64.115725
-12.1,50,64.175109
-8.5,50,64.239101
0.5,50,64.308522
-12.3,50,64.384578
-3.3,50,64.858277
-8.5,50,64.9031
-4.0,50,64.945677
-11.7,50,64.991251
2.3,50,65.030412
-0.1,50,65.057468
13.5,50,65.092664
-8.5,50,65.134915
-7.5,50,65.362336
-7.3,50,65.413619
9.4,50,65.836231
-12.6,50,65.874305
-9.4,50,65.914
-3.3,50,65.97534
-8.2,50,66.010567
-7.6,50,66.041858
-12.6,50,66.072174
0.5,50,66.095506
-12.0,50,66.125386
-12.3,50,66.155472
-0.0,50,66.507187
-13.2,50,66.556868
-6.8,50,66.59344
8.6,50,66.634846
-4.7,50,66.675549
-2.9,50,66.726141
3.7,50,66.755326
-7.9,50,66.782506
-12.0,50,66.812613
-8.5,50,66.834839
-11.7,50,66.865517
-13.8,50,67.218796
0.2,50,67.249417
-12.9,50,67.283008
-8.8,50,67.314749
-1.5,50,67.354346
0.8,50,67.382429
-3.3,50,67.413586
-4.9,50,67.444778
-8.5,50,67.465809
1.8,50,67.500912
-5.5,50,67.792779
-8.5,50,67.824341
-3.1,50,67.857337
-3.3,50,67.891034
-2.5,50,67.944712
-12.0,50,67.994357
-12.0,50,68.036961
-12.7,50,68.068949
-4.4,50,68.090044
-7.8,50,68.11968
1.7,50,68.417455
-8.1,50,68.456152
-23.4,50,68.487814
-9.6,50,68.511126
0.9,50,68.547235
-12.3,50,68.578305
-12.0,50,68.607876
-3.6,50,68.629916
6.2,50,68.656953
2.9,50,68.687601
1.2,50,69.004819
-14.7,50,69.040933
-1.5,50,69.069595
-4.0,50,69.094187
-9.3,50,69.124373
